title,price,location,date,link,image_url
Independent Home with covered car parking in Gated Community,"₹ 75,00,000","BABARPUR, DELHI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-900-sq-ft-in-babarpur-delhi-iid-1808461223,N/A
"2BHK 896Sq. ft. flat with covered car parking, for sale in Eden Lake","₹ 36,00,000","TOLLYGUNGE, KOLKATA",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-896-sq-ft-in-tollygunge-kolkata-iid-1811282616,N/A
"Lift , Covered Car parking , CCTV facility, Gated Community","₹ 54,16,500","THORAIPAKKAM, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-942-sq-ft-in-thoraipakkam-chennai-iid-1790552159,N/A
Kwid car wheel covers 2 pcs,₹ 700,"BABUL REDDY NAGAR, HYDERABAD",N/A,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-babul-reddy-nagar-hyderabad-iid-1811419943,N/A
Seltos GT Line brand new car seat covers,"₹ 4,000","RENUKA GATED COLONY, ANANTAPUR",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-renuka-gated-colony-anantapur-iid-1811415923,N/A
SMALL CAR COVER,₹ 400,"PUTHUR, CHENNAI",N/A,https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1810256718,N/A
Kilambakkam 2 BHK Flat for Sale with Covered Car Parking,"₹ 34,00,000","URAPAKKAM, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1120-sq-ft-in-urapakkam-chennai-iid-1810008790,N/A
2bhk ready to move flat+2toilet+ 1 covered car parking and lift,"₹ 48,00,000","SECTOR 49, NOIDA",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1100-sq-ft-in-sector-49-noida-iid-1809890439,N/A
Car covered parking (apartment) 1000,N/A,"HANSAPAL, BHUBANESHWAR",N/A,https://www.olx.in/item/other-services-c625-car-covered-parking-apartment-1000-in-hansapal-bhubaneshwar-iid-1810690145,N/A
2BHK house with covered car parking for rent in east tambaram,"₹ 14,000","IRUMBULIYUR, CHENNAI",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-851-sq-ft-in-irumbuliyur-chennai-iid-1811386082,N/A
Madambakkam 1 BHK Flat for Sale with Covered Car Parking,"₹ 25,00,000","GUDUVANCHERY, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-795-sq-ft-in-guduvanchery-chennai-iid-1811383701,N/A
Sholinganallur 2 BHK Flat for Sale with Covered Car Parking,"₹ 43,00,000","SHOLINGANALLUR, CHENNAI",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-sholinganallur-chennai-iid-1811380923,N/A
Swift car seat cover,"₹ 2,600","CHERUKUNNU, PARAPPUR",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-cherukunnu-parappur-iid-1811375433,N/A
